 Level,Time_Spent,Distance_Covered,Kills,Coins,Actions_Performed,Jumps_Performed
1,5,32,0,7,172,5
2,4,27,0,9,148,2
3,17,58,2,19,236,6
3,10,77,0,21,299,10
4,18,68,1,16,264,10
4,10,82,2,13,299,9
5,10,7,0,0,20,1
6,8,41,3,8,240,7
