 Level,Time_Spent,Distance_Covered,Kills,Coins,Actions_Performed,Jumps_Performed
1,20,199,2,34,300,16
1,25,114,1,20,171,8
1,10,186,1,21,299,14
2,20,182,3,33,300,14
2,10,177,5,31,299,13
2,27,140,2,16,222,12
3,20,195,4,41,300,16
3,10,185,6,21,299,12
3,26,119,5,27,194,8
1,9,37,0,1,275,6
2,50,95,0,8,300,7
2,20,92,0,18,300,9
2,40,90,0,17,300,9
2,10,66,0,6,299,4
2,58,72,0,11,241,6
2,30,84,0,25,300,8
3,20,0,0,0,300,0
3,10,0,0,0,299,0
3,30,1,0,0,300,0
3,31,15,0,0,49,1
1,10,56,0,9,299,6
1,14,8,0,0,127,3
2,65,51,1,7,178,6
2,50,62,3,14,300,7
2,20,82,0,18,300,10
2,40,76,2,32,300,8
2,10,75,0,11,299,7
2,60,85,0,11,300,8
2,30,68,0,16,300,10
3,5,36,0,5,149,4
1,10,55,0,11,299,8
1,15,53,0,0,175,6
2,20,74,0,16,300,11
2,10,29,0,0,299,3
2,28,60,0,7,251,7
3,50,88,0,29,300,11
3,20,88,1,23,300,12
3,40,98,2,40,300,10
3,10,66,0,17,299,7
3,58,51,0,4,245,7
3,30,89,0,30,300,8
1,20,194,1,36,300,17
1,10,187,1,19,299,16
1,26,118,1,18,200,11
2,20,188,2,29,300,17
2,10,195,5,40,299,11
2,26,116,0,16,186,9
3,20,182,2,42,300,17
3,10,179,2,5,299,14
3,26,138,2,45,206,12
1,20,194,1,32,300,19
1,10,184,0,16,299,16
1,26,121,0,10,192,11
2,20,204,0,21,300,13
2,25,102,0,10,150,7
2,10,193,0,24,299,12
3,20,192,2,52,300,18
3,25,112,0,8,174,8
3,10,195,2,30,299,13
4,20,189,0,12,300,14
4,25,116,0,15,173,9
4,10,194,1,34,299,15
5,20,204,1,25,300,14
5,25,100,0,21,151,9
5,10,195,3,25,299,11
6,20,165,1,18,300,16
6,10,196,3,40,299,13
6,26,138,1,14,208,7
1,20,176,2,17,300,16
1,10,196,1,20,299,15
1,26,127,1,7,191,10
2,20,198,3,35,300,15
2,10,177,2,33,299,17
2,26,124,4,28,196,7
3,20,176,3,33,300,17
3,10,170,6,34,299,14
3,27,153,3,28,232,9
4,20,195,5,16,300,14
4,25,120,1,23,176,10
4,10,184,4,42,299,13
5,20,195,7,59,300,14
5,10,194,5,43,299,14
5,26,110,4,22,180,8
6,20,190,3,35,300,17
6,25,115,0,18,169,8
6,10,194,3,41,299,14
1,20,196,2,17,300,15
1,25,107,0,21,160,8
1,10,196,0,29,299,16
2,20,204,6,27,300,14
2,25,113,1,13,166,9
2,10,182,1,27,299,16
3,20,183,2,26,300,17
3,10,178,4,32,299,15
3,26,138,4,25,209,10
4,20,192,4,35,300,15
4,10,168,2,14,299,16
4,27,139,4,20,210,9
5,20,197,8,55,300,13
5,10,180,6,32,299,11
5,26,122,4,39,192,11
6,20,195,4,46,300,14
6,25,116,2,24,174,9
6,10,188,3,26,299,15
1,10,10,0,0,299,1
1,11,19,0,0,48,1
1,6,15,0,0,188,0
1,20,189,3,41,300,15
1,10,185,0,14,299,14
1,26,125,0,22,185,11
2,20,202,3,40,300,15
2,10,191,3,27,299,15
2,26,106,2,11,182,8
3,20,186,8,45,300,14
3,10,188,4,35,299,15
3,26,122,6,28,196,10
4,20,202,7,30,300,12
4,25,102,3,18,150,7
4,10,195,3,36,299,13
5,20,183,3,47,300,17
5,10,193,1,28,299,13
5,26,123,3,21,182,9
6,20,204,4,42,300,12
6,10,168,3,20,299,14
6,26,127,4,45,196,9
1,20,198,1,9,300,17
1,25,107,0,7,164,9
1,10,194,1,3,299,17
2,20,203,2,25,300,13
2,10,175,1,30,299,16
2,26,121,4,24,189,10
3,20,199,6,41,300,12
3,25,110,3,29,174,10
3,10,190,4,27,299,13
4,20,194,3,40,300,17
4,10,178,3,23,299,17
4,26,127,2,27,188,8
5,20,189,6,40,300,16
5,10,193,1,26,299,15
5,26,117,4,40,200,8
6,20,199,2,56,300,16
6,10,175,7,32,299,14
6,26,125,4,14,206,9
1,18,21,1,6,242,5
1,10,34,0,4,299,5
1,20,51,3,11,300,10
1,25,15,0,3,179,6
1,10,36,0,10,299,6
2,50,81,1,28,300,15
2,66,53,0,2,204,11
2,20,85,0,27,300,16
2,40,58,0,22,300,12
2,10,73,0,8,299,6
2,60,91,1,13,300,13
2,30,58,0,28,300,12
1,20,189,1,8,300,19
1,10,185,1,18,299,19
1,27,125,1,8,214,8
2,20,200,6,44,300,13
2,25,103,1,10,166,8
2,10,196,4,30,299,13
1,20,9,0,13,300,11
1,10,23,0,2,299,6
1,29,25,0,8,272,7
1,20,26,0,9,300,8
1,37,8,0,5,217,5
1,10,0,0,0,299,0
1,30,29,0,19,300,8
1,20,30,1,5,300,6
1,21,4,1,6,56,1
1,10,18,0,10,299,7
2,50,70,0,27,300,11
2,20,56,0,17,300,9
2,70,101,0,25,300,10
2,40,79,0,15,300,8
2,72,20,0,4,68,3
2,10,35,0,19,299,7
2,60,89,0,17,300,7
2,30,49,0,21,300,10
1,9,30,0,13,291,7
2,50,79,0,38,300,15
2,20,71,0,18,300,14
2,70,85,0,32,300,15
2,40,15,0,10,300,8
2,10,41,0,13,299,10
2,75,49,0,6,169,6
2,60,88,0,41,300,13
2,30,71,0,15,300,12
3,20,72,0,8,300,14
3,10,47,0,11,299,9
3,28,44,0,8,246,12
