 Level,Time_Spent,Distance_Covered,Kills,Coins,Actions_Performed,Jumps_Performed
1,20,38,0,9,300,10
1,36,44,1,5,194,6
1,10,49,0,16,299,11
1,30,36,1,12,300,8
2,80,62,0,22,300,14
2,50,74,0,12,300,10
2,20,56,0,17,300,10
2,84,9,0,0,120,2
2,70,43,0,23,300,11
2,40,69,0,26,300,13
2,10,54,0,18,299,11
2,60,65,0,24,300,11
2,30,67,0,20,300,13
3,3,22,0,0,106,2
4,17,40,0,17,231,8
4,10,27,1,2,299,4
5,50,102,0,30,300,15
5,20,83,0,25,300,13
5,55,68,0,5,173,7
5,40,96,0,5,300,7
5,10,58,0,15,299,12
5,30,92,0,18,300,11
6,10,61,1,3,299,12
6,13,23,0,6,110,4
