 Level,Time_Spent,Distance_Covered,Kills,Coins,Actions_Performed,Jumps_Performed
1,20,60,0,0,300,9
1,10,52,1,6,299,7
1,29,57,0,2,277,8
2,50,77,0,10,300,9
2,20,50,0,7,300,9
2,54,32,0,3,124,3
2,40,55,0,12,300,6
2,10,59,0,7,299,7
2,30,52,0,16,300,12
3,50,84,0,14,300,7
3,66,56,0,12,188,6
3,20,79,0,21,300,9
3,40,66,0,19,300,10
3,10,60,0,16,299,5
3,60,69,0,14,300,10
3,30,85,0,10,300,9
4,20,40,0,7,300,5
4,39,37,0,3,290,4
4,10,34,0,5,299,3
4,30,29,0,9,300,5
5,9,51,1,12,297,4
6,50,70,0,17,300,7
6,20,73,0,32,300,9
6,40,87,1,25,300,11
6,10,30,0,8,299,4
6,60,8,0,2,27,0
6,30,87,0,24,300,10
